server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.0.2p,large,4,60,7864424
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.0.2p,medium,11,60,476750
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.0.2p,small,7,60,8893
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.1.1,-,16375,34,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.1.1,huge,3,60,69905160
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.1.1,large,9,60,9320799
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.1.1,medium,4,60,393318
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.1.1,small,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.0.2p,-,11320,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.0.2p,huge,190,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.0.2p,large,1515,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.0.2p,medium,7416,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.0.2p,small,9829,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.1.1,-,10625,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.1.1,huge,187,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.1.1,large,1563,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.1.1,medium,7471,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,true,1.1.1,small,8771,31,10376
